id,version,"created_at","updated_at",user_id,description_id,rss_log_id,num_views,"last_view",north,south,west,east,high,low,ok_for_export,"notes","name","scientific_name",locked
21,3,"2008-01-04 22:48:03","2010-08-14 01:56:45",1,NULL,NULL,219,"2018-09-05 19:40:30",38.1464,38.039,-122.624,-122.486,NULL,NULL,1,"[admin - Sat Aug 14 01:56:45 +0000 2010]: Changed location name from 'Novato, Marin Co., California, USA' to 'Novato, California, USA'","Novato, California, USA","USA, California, Novato",0
25,6,"2008-01-05 03:36:26","2010-08-14 01:56:46",25,11,NULL,693,"2018-08-19 18:06:45",37.3343,37.326,-122.186,-122.174,670,540,1,"[admin - Sat Aug 14 01:56:46 +0000 2010]: Changed location name from 'Los Trancos Preserve, Palo Alto, Santa Clara Co., California, USA' to 'Los Trancos Preserve, Palo Alto, California, USA'","Los Trancos Preserve, Palo Alto, California, USA","USA, California, Palo Alto, Los Trancos Preserve",0
34,6,"2008-01-05 06:07:22","2015-01-25 16:40:08",25,12,220871,191,"2018-06-21 07:41:49",37.4694,37.4149,-122.228,-122.141,120,22,1,"[admin - Sat Aug 14 01:56:46 +0000 2010]: Changed location name from 'Menlo Park, San Mateo Co., California, USA' to 'Menlo Park, California, USA'

[admin - 2015-01-25 16:40:08 +0000]: Merged with Menlo Park, California: North: 37.5073, South: 37.4185, West: -122.229, East: -122.121","Menlo Park, California, USA","USA, California, Menlo Park",0
41,7,"2008-01-05 18:25:48","2012-12-29 03:15:55",25,NULL,131008,570,"2018-08-21 15:39:15",37.4283,37.3587,-122.124,-122.05,40,15,1,"[admin - Sat Aug 14 01:56:46 +0000 2010]: Changed location name from 'Mountain View, Santa Clara Co., California, USA' to 'Mountain View, California, USA'","Mountain View, California, USA","USA, California, Mountain View",0
44,1,"2008-01-07 00:05:19","2008-01-07 00:05:19",135,16,NULL,175,"2018-06-25 09:34:32",38.0133,37.9806,-122.506,-122.456,NULL,NULL,1,NULL,"China Camp State Park, Marin Co., California, USA","USA, California, Marin Co., China Camp State Park",0
58,5,"2008-01-10 17:13:34","2010-08-14 01:56:47",1,NULL,NULL,817,"2018-08-21 18:29:48",37.0243,36.9466,-122.088,-121.987,100,0,1,"[admin - Sat Aug 14 01:56:47 +0000 2010]: Changed location name from 'Santa Cruz, Santa Cruz Co., California, USA' to 'Santa Cruz, California, USA'","Santa Cruz, California, USA","USA, California, Santa Cruz",0
60,1,"2008-01-10 18:16:47","2008-01-10 18:16:47",1,22,NULL,99,"2018-06-07 02:34:14",37.0274,37.0074,-122.113,-122.079,NULL,NULL,1,NULL,"Gray Whale Ranch, Santa Cruz Co., California, USA","USA, California, Santa Cruz Co., Gray Whale Ranch",0
62,3,"2008-01-10 18:41:49","2010-08-14 01:56:56",1,NULL,NULL,167,"2018-06-07 13:10:44",37.0967,37.0291,-122.281,-122.217,NULL,NULL,1,"[admin - Sat Aug 14 01:56:56 +0000 2010]: Changed location name from 'Swanton Road, Santa Cruz Co., California, USA' to 'Swanton Rd., Santa Cruz Co., California, USA'","Swanton Rd., Santa Cruz Co., California, USA","USA, California, Santa Cruz Co., Swanton Rd.",0
63,5,"2008-01-12 05:33:08","2013-01-03 09:59:28",1,NULL,133574,181,"2018-06-08 03:47:51",37.1046,37.0086,-122.17,-122.1,NULL,NULL,1,"[admin - Sat Aug 14 01:56:56 +0000 2010]: Changed location name from 'Bonny Doon, Santa Cruz Co., California, USA' to 'Bonny Doon, California, USA'

[admin - 2013-01-03 09:59:28 +0000]: Merged with Bonny Doon California: North: 37.0786, South: 37.0608, West: -122.14, East: -122.108","Bonny Doon, California, USA","USA, California, Bonny Doon",0
70,4,"2008-01-17 06:37:19","2015-12-19 03:58:04",1,NULL,256176,1186,"2018-08-16 05:37:25",37.0204,37.0019,-122.08,-122.053,NULL,NULL,1,"[admin - Sat Aug 14 01:56:56 +0000 2010]: Changed location name from 'Marshall Fields, UCSC Campus, Santa Cruz, Santa Cruz Co., California, USA' to 'Marshall Fields, University of California Santa Cruz, Santa Cruz Co., California, USA'","Marshall Fields, University of California Santa Cruz, Santa Cruz Co., California, USA","USA, California, Santa Cruz Co., University of California Santa Cruz, Marshall Fields",0
