id,version,"created_at","updated_at",user_id,description_id,rss_log_id,num_views,"last_view",rank,"text_name","search_name","display_name","sort_name","citation",deprecated,synonym_id,correct_spelling_id,"notes","classification",ok_for_export,"author","lifeform",locked
1,47,"2007-01-10 05:03:37","2018-08-07 18:47:24",1,2839,11340,6057,"2018-09-09 13:16:43",14,"Fungi","Fungi Bartl.","**__Fungi__** Bartl.","Fungi  Bartl.","",0,3245,NULL,"","Domain: _Eukarya_",1,"Bartl."," ",1
4,6,"2007-01-10 05:03:37","2017-12-01 19:36:41",1,NULL,182784,947,"2018-07-26 10:41:03",16,"Xylaria hypoxylon group","Xylaria hypoxylon group J.D. Rogers","**__Xylaria hypoxylon__** group J.D. Rogers","Xylaria hypoxylon   group  J.D. Rogers","Rogers, J. D. 1985. Anamorphs of Xylaria: Taxonomic considerations. Sydowia 38:255-262",0,3692,NULL,"\"Xylaria hypoxylon group. Examples are X. acuta PECK,
X. cornu-damae (SCHW.) FR., X. carpophila (PERS. : FR.) FR.,
X. digitata (L. : FR.) Grev., X. hypoxylon (L. : FR.) GREV.,
X. magnoliae ROGERS, X. mali FROMME, X. oxyacanthae TUL.,
--X. persicaria (SCHW. : FR.) BERK. & CURT.-- + **X. liquidambaris** 
Some of these species can be separated on conidial and cultural
features (CHACKO & ROGERS, 1981; ROE, 1974; ROGERS, 1983;
1984 a; 1984 b; STOWELL & ROGERS, 1983).\"

NOTE: _X. persicaria_ replaced with _X. liquidambaris_ at Dr. Rogers' direction

-Rogers, J. D. 1985. Anamorphs of Xylaria: Taxonomic considerations. Sydowia 38:255-262. (\"PDF\":http://www.zobodat.at/pdf/Sydowia_38_0255-0262.pdf)","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Ascomycota_
Class: _Sordariomycetes_
Order: _Xylariales_
Family: _Xylariaceae_",1,"J.D. Rogers"," ",0
5,7,"2007-01-10 05:03:37","2018-02-04 16:40:56",1,4954,21994,856,"2018-09-08 17:38:25",9,"Xeromphalina","Xeromphalina Kühner & Maire","**__Xeromphalina__** Kühner & Maire","Xeromphalina  Kühner & Maire","Konrad, P.; Maublanc, A. 1937. Icones Selectae Fungorum. 6:1-558",0,6577,NULL,"http://www.indexfungorum.org/names/NamesRecord.asp?RecordID=18765
http://mycobank.org/BioloMICS.aspx?Table=Mycobank&Rec=57639&Fields=All","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Typhulaceae_",1,"Kühner & Maire"," ",0
6,3,"2007-01-10 05:03:37","2012-01-27 02:34:28",1,NULL,94225,241,"2018-06-22 15:44:16",4,"Xerocomus zelleri","Xerocomus zelleri Murrill","__Xerocomus zelleri__ Murrill","Xerocomus zelleri  Murrill",NULL,1,505,NULL,NULL,NULL,1,"Murrill"," ",0
7,4,"2007-01-10 05:03:37","2012-09-17 13:04:13",1,NULL,9502,725,"2018-08-27 21:00:50",4,"Xerocomus subtomentosus","Xerocomus subtomentosus (L.) Quél.","**__Xerocomus subtomentosus__** (L.) Quél.","Xerocomus subtomentosus  (L.) Quél.","",0,645,NULL,"",NULL,1,"(L.) Quél."," ",0
9,4,"2007-01-10 05:03:37","2012-01-05 04:13:40",1,NULL,9426,332,"2018-08-11 19:08:42",4,"Xerocomus chrysenteron","Xerocomus chrysenteron (Bull.) Quél.","__Xerocomus chrysenteron__ (Bull.) Quél.","Xerocomus chrysenteron  (Bull.) Quél.",NULL,1,504,NULL,"",NULL,1,"(Bull.) Quél."," ",0
11,2,"2007-01-10 05:03:37","2011-11-05 23:21:56",1,2265,86810,177,"2018-09-01 06:53:33",4,"Volvariella smithii","Volvariella smithii Shaffer","**__Volvariella smithii__** Shaffer","Volvariella smithii  Shaffer",NULL,0,NULL,NULL,NULL,"",1,"Shaffer"," ",0
12,8,"2007-01-10 05:03:38","2014-03-30 22:55:17",1,NULL,2103,661,"2018-08-11 15:01:40",4,"Verpa bohemica","Verpa bohemica (Krombh.) J. Schröt.","**__Verpa bohemica__** (Krombh.) J. Schröt.","Verpa bohemica  (Krombh.) J. Schröt.","_Krypt.-Fl. Schlesien_ (Breslau) 3.2(1–2): 25 (1893)",0,2545,NULL,"\"Index Fungorum record 481988\":http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=481988
\"MycoBank ==#481988==\":http://www.mycobank.org/MB/481988","Kingdom: _Fungi_
Phylum: _Ascomycota_
Class: _Ascomycetes_
Order: _Pezizales_
Family: _Morchellaceae_",1,"(Krombh.) J. Schröt."," ",0
13,5,"2007-01-10 05:03:38","2015-04-21 21:47:39",1,6,57196,612,"2018-06-22 12:52:42",13,"Myxomycota","Myxomycota","__Myxomycota__","Myx!1","",1,5178,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Amoebozoa_",1,""," ",0
