Date,TMax,TMin,TAvg,TDep,HDD,CDD,Precip,NewSnow,SnowDepth
5/1/06,77,49,63,5,2,0,0,0,0
5/2/06,75,48,61.5,3.4,3,0,0,0,0
5/3/06,75,48,61.5,3.3,3,0,0,0,0
5/4/06,62,51,56.5,-1.8,8,0,0,0,0
5/5/06,65,52,58.5,0.1,6,0,0,0,0
5/6/06,58,49,53.5,-5,11,0,0,0,0
5/7/06,66,50,58,-0.6,7,0,0,0,0
5/8/06,71,50,60.5,1.8,4,0,0,0,0
5/9/06,77,48,62.5,3.7,2,0,0,0,0
5/10/06,77,49,63,4.1,2,0,0,0,0
5/11/06,85,50,67.5,8.5,0,3,0,0,0
5/12/06,72,49,60.5,1.4,4,0,0,0,0
5/13/06,73,47,60,0.8,5,0,0,0,0
5/14/06,73,49,61,1.7,4,0,0,0,0
5/15/06,90,60,75,15.6,0,10,0,0,0
5/16/06,71,53,62,2.5,3,0,0,0,0
5/17/06,72,51,61.5,1.9,3,0,0,0,0
5/18/06,67,50,58.5,-1.2,6,0,0,0,0
5/19/06,70,50,60,0.2,5,0,0.24,0,0
5/20/06,62,49,55.5,-4.4,9,0,0,0,0
5/21/06,70,56,63,2.9,2,0,0.26,0,0
5/22/06,68,51,59.5,-0.7,5,0,0,0,0
5/23/06,71,55,63,2.7,2,0,0,0,0
5/24/06,73,55,64,3.6,1,0,0.02,0,0
5/25/06,73,50,61.5,1,3,0,0,0,0
5/26/06,72,51,61.5,0.9,3,0,0,0,0
5/27/06,69,47,58,-2.7,7,0,0,0,0
5/28/06,70,47,58.5,-2.3,6,0,0,0,0
5/29/06,73,47,60,-0.9,5,0,0,0,0
5/30/06,73,49,61,0,4,0,0,0,0
5/31/06,75,53,64,2.9,1,0,0,0,0
6/1/06,72,54,63,1.8,2,0,0,0,0
6/2/06,75,55,65,3.7,0,0,0,0,0
6/3/06,77,55,66,4.6,0,1,0,0,0
6/4/06,80,58,69,7.5,0,4,0,0,0
6/5/06,76,55,65.5,3.9,0,1,0,0,0
6/6/06,76,53,64.5,2.8,0,0,0,0,0
6/7/06,72,52,62,0.2,3,0,0,0,0
6/8/06,79,52,65.5,3.6,0,1,0,0,0
6/9/06,73,52,62.5,0.5,2,0,0,0,0
6/10/06,70,52,61,-1.1,4,0,0,0,0
6/11/06,63,52,57.5,-4.7,7,0,0,0,0
6/12/06,M,55,M,M,M,M,0,0,0
6/13/06,66,54,60,-2.4,5,0,0,0,0
6/14/06,69,50,59.5,-3,5,0,0,0,0
6/15/06,72,51,61.5,-1,3,0,0,0,0
6/16/06,77,56,66.5,3.9,0,2,0,0,0
6/17/06,89,55,72,9.3,0,7,0,0,0
6/18/06,86,52,69,6.3,0,4,0,0,0
6/19/06,79,50,64.5,1.7,0,0,0,0,0
6/20/06,76,51,63.5,0.6,1,0,0,0,0
6/21/06,M,54,M,M,M,M,0,0,0
6/22/06,93,62,77.5,14.5,0,13,0,0,0
6/23/06,90,53,71.5,8.5,0,7,0,0,0
6/24/06,73,53,63,-0.1,2,0,0,0,0
6/25/06,71,55,63,-0.1,2,0,0,0,0
6/26/06,75,55,65,1.8,0,0,0,0,0
6/27/06,82,55,68.5,5.3,0,4,0,0,0
6/28/06,69,57,63,-0.2,2,0,0,0,0
6/29/06,73,55,64,0.7,1,0,0,0,0
6/30/06,75,55,65,1.7,0,0,0,0,0
7/1/06,70,53,61.5,-1.8,3,0,0,0,0
7/2/06,72,52,62,-1.3,3,0,0,0,0
7/3/06,74,51,62.5,-0.8,2,0,0,0,0
7/4/06,74,52,63,-0.4,2,0,0,0,0
7/5/06,75,52,63.5,0.1,1,0,0,0,0
7/6/06,74,52,63,-0.4,2,0,0,0,0
7/7/06,78,49,63.5,0.1,1,0,0,0,0
7/8/06,84,53,68.5,5.1,0,4,0,0,0
7/9/06,84,52,68,4.6,0,3,0,0,0
7/10/06,74,53,63.5,0.1,1,0,0,0,0
7/11/06,75,52,63.5,0.1,1,0,0,0,0
7/12/06,73,53,63,-0.4,2,0,0,0,0
7/13/06,76,55,65.5,2.1,0,1,0,0,0
7/14/06,81,54,67.5,4.1,0,3,0,0,0
7/15/06,76,54,65,1.6,0,0,0,0,0
7/16/06,74,52,63,-0.4,2,0,0,0,0
7/17/06,79,52,65.5,2.1,0,1,0,0,0
7/18/06,84,55,69.5,6.1,0,5,0,0,0
7/19/06,79,59,69,5.5,0,4,0,0,0
7/20/06,81,57,69,5.5,0,4,0,0,0
7/21/06,81,59,70,6.5,0,5,0,0,0
7/22/06,84,62,73,9.5,0,8,0,0,0
7/23/06,99,62,80.5,17,0,16,0,0,0
7/24/06,90,57,73.5,10,0,9,0,0,0
7/25/06,88,57,72.5,9,0,8,0,0,0
7/26/06,84,57,70.5,7,0,6,0,0,0
7/27/06,72,55,63.5,-0.1,1,0,0,0,0
7/28/06,72,55,63.5,-0.1,1,0,0,0,0
7/29/06,65,56,60.5,-3.1,4,0,0,0,0
7/30/06,68,56,62,-1.6,3,0,0,0,0
7/31/06,78,55,66.5,2.9,0,2,0,0,0
8/1/06,78,54,66,2.3,0,1,0,0,0
8/2/06,75,53,64,0.3,1,0,0,0,0
8/3/06,72,53,62.5,-1.2,2,0,0,0,0
8/4/06,74,54,64,0.2,1,0,0,0,0
8/5/06,71,55,63,-0.8,2,0,0,0,0
8/6/06,75,54,64.5,0.7,0,0,0,0,0
8/7/06,74,55,64.5,0.6,0,0,0,0,0
8/8/06,73,56,64.5,0.6,0,0,0,0,0
8/9/06,82,58,70,6.1,0,5,0,0,0
8/10/06,92,56,74,10,0,9,0,0,0
8/11/06,75,54,64.5,0.5,0,0,0,0,0
8/12/06,74,55,64.5,0.5,0,0,0,0,0
8/13/06,73,53,63,-1.1,2,0,0,0,0
8/14/06,70,56,63,-1.1,2,0,0,0,0
8/15/06,71,54,62.5,-1.6,2,0,0,0,0
8/16/06,67,54,60.5,-3.6,4,0,0,0,0
8/17/06,72,50,61,-3.2,4,0,0,0,0
8/18/06,74,52,63,-1.2,2,0,0,0,0
8/19/06,71,52,61.5,-2.7,3,0,0,0,0
8/20/06,69,52,60.5,-3.7,4,0,0,0,0
8/21/06,66,53,59.5,-4.8,5,0,0,0,0
8/22/06,69,50,59.5,-4.8,5,0,0,0,0
8/23/06,73,53,63,-1.3,2,0,0,0,0
8/24/06,72,51,61.5,-2.8,3,0,0,0,0
8/25/06,70,53,61.5,-2.8,3,0,0,0,0
8/26/06,70,55,62.5,-1.9,2,0,0,0,0
8/27/06,70,52,61,-3.4,4,0,0,0,0
8/28/06,73,51,62,-2.4,3,0,0,0,0
8/29/06,71,52,61.5,-2.9,3,0,0,0,0
8/30/06,68,52,60,-4.4,5,0,0,0,0
8/31/06,80,51,65.5,1.1,0,1,0,0,0
9/1/06,79,53,66,1.6,0,1,0,0,0
9/2/06,72,52,62,-2.4,3,0,0,0,0
9/3/06,70,51,60.5,-3.9,4,0,0,0,0
9/4/06,68,52,60,-4.4,5,0,0,0,0
9/5/06,72,51,61.5,-2.8,3,0,0,0,0
9/6/06,77,51,64,-0.3,1,0,0,0,0
9/7/06,72,50,61,-3.3,4,0,0,0,0
9/8/06,70,52,61,-3.3,4,0,0,0,0
9/9/06,63,52,57.5,-6.8,7,0,0,0,0
9/10/06,63,51,57,-7.3,8,0,0,0,0
9/11/06,72,49,60.5,-3.8,4,0,0,0,0
9/12/06,85,51,68,3.8,0,3,0,0,0
9/13/06,88,52,70,5.8,0,5,0,0,0
9/14/06,70,51,60.5,-3.7,4,0,0,0,0
9/15/06,67,46,56.5,-7.7,8,0,0,0,0
9/16/06,72,47,59.5,-4.6,5,0,0,0,0
9/17/06,77,51,64,-0.1,1,0,0,0,0
9/18/06,84,52,68,3.9,0,3,0,0,0
9/19/06,82,52,67,2.9,0,2,0,0,0
9/20/06,75,50,62.5,-1.5,2,0,0,0,0
9/21/06,84,53,68.5,4.5,0,4,0,0,0
9/22/06,80,54,67,3,0,2,0,0,0
9/23/06,85,52,68.5,4.6,0,4,0,0,0
9/24/06,77,51,64,0.1,1,0,0,0,0
9/25/06,78,48,63,-0.9,2,0,0,0,0
9/26/06,89,51,70,6.2,0,5,0,0,0
9/27/06,67,53,60,-3.8,5,0,0,0,0
9/28/06,69,49,59,-4.7,6,0,0,0,0
9/29/06,64,50,57,-6.7,8,0,0,0,0
9/30/06,66,52,59,-4.6,6,0,0,0,0
10/1/06,64,49,56.5,-7.1,8,0,0,0,0
10/2/06,66,49,57.5,-6,7,0,0,0,0
10/3/06,70,48,59,-4.5,6,0,0,0,0
10/4/06,70,54,62,-1.4,3,0,0.09,0,0
10/5/06,66,51,58.5,-4.8,6,0,0.52,0,0
10/6/06,68,48,58,-5.3,7,0,0,0,0
10/7/06,60,49,54.5,-8.7,10,0,0,0,0
10/8/06,72,49,60.5,-2.6,4,0,0,0,0
10/9/06,81,51,66,3,0,1,0,0,0
10/10/06,77,51,64,1.1,1,0,0,0,0
10/11/06,69,48,58.5,-4.3,6,0,0,0,0
10/12/06,73,48,60.5,-2.2,4,0,0,0,0
10/13/06,68,53,60.5,-2.1,4,0,0,0,0
10/14/06,68,54,61,-1.5,4,0,0,0,0
10/15/06,66,51,58.5,-3.9,6,0,0,0,0
10/16/06,69,52,60.5,-1.8,4,0,0,0,0
10/17/06,69,47,58,-4.1,7,0,0,0,0
10/18/06,73,49,61,-1,4,0,0,0,0
10/19/06,79,49,64,2.2,1,0,0,0,0
10/20/06,80,52,66,4.3,0,1,0,0,0
10/21/06,84,54,69,7.5,0,4,0,0,0
10/22/06,85,51,68,6.7,0,3,0,0,0
10/23/06,79,46,62.5,1.3,2,0,0,0,0
10/24/06,80,50,65,4,0,0,0,0,0
10/25/06,67,45,56,-4.8,9,0,0,0,0
10/26/06,77,52,64.5,3.9,0,0,0,0,0
10/27/06,75,55,65,4.6,0,0,0,0,0
10/28/06,82,49,65.5,5.3,0,1,0,0,0
10/29/06,83,48,65.5,5.5,0,1,0,0,0
10/30/06,83,48,65.5,5.8,0,1,0,0,0
10/31/06,61,48,54.5,-5,10,0,0,0,0
11/1/06,65,45,55,-4.3,10,0,0,0,0
11/2/06,67,52,59.5,0.5,5,0,0.3,0,0
11/3/06,63,55,59,0.2,6,0,0.38,0,0
11/4/06,68,50,59,0.4,6,0,0,0,0
11/5/06,66,50,58,-0.3,7,0,0,0,0
11/6/06,71,52,61.5,3.4,3,0,0,0,0
11/7/06,76,52,64,6.2,1,0,0,0,0
11/8/06,74,55,64.5,7,0,0,0.01,0,0
11/9/06,68,45,56.5,-0.8,8,0,0,0,0
11/10/06,65,41,53,-4,12,0,0,0,0
11/11/06,65,48,56.5,-0.3,8,0,0,0,0
11/12/06,59,40,49.5,-7,15,0,0,0,0
11/13/06,63,45,54,-2.3,11,0,0,0,0
11/14/06,61,48,54.5,-1.5,10,0,0.93,0,0
11/15/06,66,45,55.5,-0.2,9,0,0,0,0
11/16/06,67,49,58,2.5,7,0,0.01,0,0
11/17/06,66,55,60.5,5.3,4,0,0,0,0
11/18/06,66,48,57,2,8,0,0,0,0
11/19/06,69,50,59.5,4.8,5,0,0,0,0
11/20/06,68,50,59,4.5,6,0,0,0,0
11/21/06,64,52,58,3.7,7,0,0,0,0
11/22/06,66,48,57,3,8,0,0,0,0
11/23/06,63,41,52,-1.8,13,0,0,0,0
11/24/06,62,37,49.5,-4.1,15,0,0,0,0
11/25/06,60,40,50,-3.4,15,0,0,0,0
