Date,TMax,TMin,TAvg,TDep,HDD,CDD,Precip,NewSnow,SnowDepth
2006-05-01,87,49,68.0,8.1,0,3,0.00,,
2006-05-02,84,46,65.0,4.9,0,0,0.00,,
2006-05-03,65,50,57.5,-2.8,7,0,0.00,,
2006-05-04,70,50,60.0,-0.5,5,0,0.00,,
2006-05-05,66,50,58.0,-2.7,7,0,0.00,,
2006-05-06,64,49,56.5,-4.4,8,0,0.00,,
2006-05-07,80,44,62.0,0.9,3,0,0.00,,
2006-05-08,78,50,64.0,2.8,1,0,0.00,,
2006-05-09,82,47,64.5,3.1,0,0,0.00,,
2006-05-10,88,49,68.5,6.9,0,4,0.00,,
2006-05-11,87,50,68.5,6.8,0,4,0.00,,
2006-05-12,83,50,66.5,4.6,0,2,0.00,,
2006-05-13,79,50,64.5,2.5,0,0,0.00,,
2006-05-14,93,47,70.0,7.8,0,5,0.00,,
2006-05-15,90,58,74.0,11.7,0,9,0.00,,
2006-05-16,84,56,70.0,7.5,0,5,0.00,,
2006-05-17,83,54,68.5,5.9,0,4,0.00,,
2006-05-18,84,50,67.0,4.3,0,2,0.00,,
2006-05-19,71,53,62.0,-0.8,3,0,0.04,,
2006-05-20,73,53,63.0,0.0,2,0,0.00,,
2006-05-21,69,53,61.0,-2.1,4,0,0.60,,
2006-05-22,71,53,62.0,-1.2,3,0,0.01,,
2006-05-23,76,55,65.5,2.1,0,1,T,,
2006-05-24,75,53,64.0,0.5,1,0,0.00,,
2006-05-25,70,51,60.5,-3.1,4,0,0.00,,
2006-05-26,68,50,59.0,-4.7,6,0,0.00,,
2006-05-27,66,50,58.0,-5.9,7,0,0.00,,
2006-05-28,74,45,59.5,-4.5,5,0,0.00,,
2006-05-29,77,44,60.5,-3.7,4,0,0.00,,
2006-05-30,81,49,65.0,0.7,0,0,0.00,,
2006-05-31,83,51,67.0,2.5,0,2,0.00,,
2006-06-01,84,55,69.5,4.9,0,5,0.00,,
2006-06-02,83,59,71.0,6.2,0,6,0.00,,
2006-06-03,89,55,72.0,7.0,0,7,0.00,,
2006-06-04,80,55,67.5,2.4,0,3,0.00,,
2006-06-05,74,54,64.0,-1.3,1,0,0.00,,
2006-06-06,83,52,67.5,2.0,0,3,0.00,,
2006-06-07,80,53,66.5,0.8,0,2,0.00,,
2006-06-08,73,52,62.5,-3.4,2,0,0.00,,
2006-06-09,79,52,65.5,-0.6,0,1,0.00,,
2006-06-10,71,52,61.5,-4.8,3,0,0.00,,
2006-06-11,72,52,62.0,-4.5,3,0,0.00,,
2006-06-12,67,54,60.5,-6.2,4,0,0.00,,
2006-06-13,69,53,61.0,-6.0,4,0,0.00,,
2006-06-14,75,49,62.0,-5.2,3,0,T,,
2006-06-15,84,53,68.5,1.1,0,4,0.00,,
2006-06-16,96,55,75.5,7.9,0,11,0.00,,
2006-06-17,94,58,76.0,8.1,0,11,0.00,,
2006-06-18,84,54,69.0,0.9,0,4,0.00,,
2006-06-19,82,52,67.0,-1.4,0,2,0.00,,
2006-06-20,94,54,74.0,5.4,0,9,0.00,,
2006-06-21,100,58,79.0,10.2,0,14,0.00,,
2006-06-22,103,59,81.0,11.9,0,16,0.00,,
2006-06-23,101,62,81.5,12.2,0,17,0.00,,
2006-06-24,94,60,77.0,7.5,0,12,0.00,,
2006-06-25,95,60,77.5,7.8,0,13,0.00,,
2006-06-26,96,62,79.0,9.0,0,14,0.00,,
2006-06-27,90,62,76.0,5.8,0,11,0.00,,
2006-06-28,96,59,77.5,7.1,0,13,T,,
2006-06-29,92,57,74.5,3.9,0,10,0.00,,
