Date,TMax,TMin,TAvg,TDep,HDD,CDD,Precip,NewSnow,SnowDepth
5/1/06,64,50,57,2,8,0,0,0,0
5/2/06,64,49,56.5,1.4,8,0,0,0,0
5/3/06,62,51,56.5,1.4,8,0,0,0,0
5/4/06,65,53,59,3.8,6,0,0,0,0
5/5/06,59,52,55.5,0.2,9,0,0,0,0
5/6/06,60,51,55.5,0.2,9,0,0,0,0
5/7/06,63,48,55.5,0.1,9,0,0,0,0
5/8/06,64,50,57,1.6,8,0,0,0,0
5/9/06,64,49,56.5,1,8,0,0,0,0
5/10/06,67,48,57.5,1.9,7,0,0,0,0
5/11/06,66,50,58,2.4,7,0,0,0,0
5/12/06,65,47,56,0.3,9,0,0,0,0
5/13/06,64,49,56.5,0.8,8,0,0,0,0
5/14/06,76,46,61,5.2,4,0,0,0,0
5/15/06,75,56,65.5,9.6,0,1,0,0,0
5/16/06,70,52,61,5.1,4,0,0,0,0
5/17/06,63,51,57,1,8,0,0,0,0
5/18/06,64,51,57.5,1.4,7,0,0,0,0
5/19/06,68,52,60,3.9,5,0,0.04,0,0
5/20/06,73,49,61,4.8,4,0,0,0,0
5/21/06,61,54,57.5,1.3,7,0,0.59,0,0
5/22/06,69,50,59.5,3.2,5,0,0,0,0
5/23/06,73,52,62.5,6.1,2,0,0,0,0
5/24/06,74,52,63,6.5,2,0,0,0,0
5/25/06,67,53,60,3.5,5,0,0,0,0
5/26/06,64,53,58.5,1.9,6,0,0,0,0
5/27/06,64,52,58,1.3,7,0,0,0,0
5/28/06,65,51,58,1.3,7,0,0,0,0
5/29/06,65,48,56.5,-0.3,8,0,0,0,0
5/30/06,66,50,58,1.1,7,0,0,0,0
5/31/06,68,51,59.5,2.5,5,0,0,0,0
6/1/06,74,53,63.5,6.4,1,0,0,0,0
6/2/06,76,57,66.5,9.4,0,2,0,0,0
6/3/06,72,53,62.5,5.3,2,0,0,0,0
6/4/06,71,54,62.5,5.2,2,0,0,0,0
6/5/06,65,54,59.5,2.1,5,0,0,0,0
6/6/06,67,54,60.5,3,4,0,0,0,0
6/7/06,66,54,60,2.4,5,0,0,0,0
6/8/06,64,54,59,1.3,6,0,0,0,0
6/9/06,62,53,57.5,-0.3,7,0,0,0,0
6/10/06,63,53,58,0.2,7,0,0,0,0
6/11/06,68,53,60.5,2.6,4,0,0,0,0
6/12/06,67,54,60.5,2.5,4,0,0,0,0
6/13/06,71,54,62.5,4.4,2,0,0,0,0
6/14/06,70,50,60,1.8,5,0,0,0,0
6/15/06,69,54,61.5,3.2,3,0,0,0,0
6/16/06,78,51,64.5,6.1,0,0,0,0,0
6/17/06,69,52,60.5,2,4,0,0,0,0
6/18/06,65,52,58.5,-0.1,6,0,0,0,0
6/19/06,64,52,58,-0.6,7,0,0,0,0
6/20/06,73,47,60,1.3,5,0,0,0,0
6/21/06,84,49,66.5,7.7,0,2,0,0,0
6/22/06,82,53,67.5,8.6,0,3,0,0,0
6/23/06,76,53,64.5,5.5,0,0,0,0,0
6/24/06,72,53,62.5,3.5,2,0,0,0,0
6/25/06,72,56,64,4.9,1,0,0,0,0
6/26/06,77,55,66,6.8,0,1,0,0,0
6/27/06,74,57,65.5,6.3,0,1,0,0,0
6/28/06,72,58,65,5.7,0,0,0,0,0
6/29/06,69,56,62.5,3.1,2,0,0,0,0
6/30/06,69,56,62.5,3.1,2,0,0,0,0
7/1/06,65,54,59.5,0,5,0,0,0,0
7/2/06,65,53,59,-0.5,6,0,0,0,0
7/3/06,65,53,59,-0.6,6,0,0,0,0
7/4/06,65,53,59,-0.6,6,0,0,0,0
7/5/06,64,53,58.5,-1.2,6,0,0,0,0
7/6/06,67,52,59.5,-0.2,5,0,0,0,0
7/7/06,73,49,61,1.2,4,0,0,0,0
7/8/06,67,49,58,-1.8,7,0,0,0,0
7/9/06,67,51,59,-0.8,6,0,0,0,0
7/10/06,66,53,59.5,-0.4,5,0,0,0,0
7/11/06,68,54,61,1.1,4,0,0,0,0
7/12/06,70,52,61,1.1,4,0,0,0,0
7/13/06,65,54,59.5,-0.5,5,0,0,0,0
7/14/06,62,53,57.5,-2.5,7,0,0,0,0
7/15/06,63,52,57.5,-2.5,7,0,0,0,0
7/16/06,64,52,58,-2,7,0,0,0,0
7/17/06,74,50,62,1.9,3,0,0,0,0
7/18/06,75,54,64.5,4.4,0,0,0,0,0
7/19/06,77,58,67.5,7.4,0,3,0,0,0
7/20/06,80,56,68,7.9,0,3,0,0,0
7/21/06,80,57,68.5,8.4,0,4,0,0,0
7/22/06,84,60,72,11.8,0,7,0,0,0
7/23/06,75,60,67.5,7.3,0,3,0,0,0
7/24/06,69,57,63,2.8,2,0,0,0,0
7/25/06,74,57,65.5,5.3,0,1,0,0,0
7/26/06,71,56,63.5,3.2,1,0,0,0,0
7/27/06,66,57,61.5,1.2,3,0,0,0,0
7/28/06,67,57,62,1.7,3,0,0,0,0
7/29/06,65,58,61.5,1.2,3,0,0.02,0,0
7/30/06,70,58,64,3.6,1,0,0.02,0,0
7/31/06,66,56,61,0.6,4,0,0,0,0
8/1/06,64,55,59.5,-0.9,5,0,0,0,0
8/2/06,64,55,59.5,-1,5,0,0,0,0
8/3/06,63,55,59,-1.5,6,0,0,0,0
8/4/06,66,56,61,0.5,4,0,0,0,0
8/5/06,70,58,64,3.4,1,0,0,0,0
8/6/06,69,55,62,1.4,3,0,0,0,0
8/7/06,69,58,63.5,2.9,1,0,0,0,0
8/8/06,65,53,59,-1.7,6,0,0,0,0
8/9/06,77,55,66,5.3,0,1,0,0,0
8/10/06,67,56,61.5,0.8,3,0,0,0,0
8/11/06,64,56,60,-0.8,5,0,0,0,0
8/12/06,64,56,60,-0.8,5,0,0,0,0
8/13/06,65,55,60,-0.8,5,0,0,0,0
8/14/06,68,56,62,1.1,3,0,0,0,0
8/15/06,67,55,61,0.1,4,0,0,0,0
8/16/06,65,55,60,-0.9,5,0,0,0,0
8/17/06,65,53,59,-1.9,6,0,0,0,0
8/18/06,65,54,59.5,-1.5,5,0,0,0,0
8/19/06,65,55,60,-1,5,0,0,0,0
8/20/06,65,55,60,-1,5,0,0,0,0
8/21/06,62,55,58.5,-2.5,6,0,0,0,0
8/22/06,63,52,57.5,-3.6,7,0,0,0,0
8/23/06,62,52,57,-4.1,8,0,0,0,0
8/24/06,61,50,55.5,-5.6,9,0,0,0,0
8/25/06,62,55,58.5,-2.6,6,0,0,0,0
8/26/06,66,56,61,-0.1,4,0,0,0,0
8/27/06,65,55,60,-1.1,5,0,0,0,0
8/28/06,62,55,58.5,-2.6,6,0,0,0,0
8/29/06,61,54,57.5,-3.6,7,0,0,0,0
8/30/06,69,53,61,-0.1,4,0,0,0,0
8/31/06,65,50,57.5,-3.5,7,0,0,0,0
9/1/06,65,53,59,-2,6,0,0,0,0
9/2/06,63,54,58.5,-2.5,6,0,0,0,0
9/3/06,62,55,58.5,-2.5,6,0,0,0,0
9/4/06,62,55,58.5,-2.4,6,0,0,0,0
9/5/06,62,52,57,-3.9,8,0,0,0,0
9/6/06,61,53,57,-3.9,8,0,0,0,0
9/7/06,65,51,58,-2.8,7,0,0,0,0
9/8/06,62,55,58.5,-2.3,6,0,0,0,0
9/9/06,65,55,60,-0.7,5,0,0,0,0
9/10/06,64,55,59.5,-1.2,5,0,0,0,0
9/11/06,64,50,57,-3.6,8,0,0,0,0
9/12/06,74,51,62.5,2,2,0,0,0,0
9/13/06,65,52,58.5,-2,6,0,0,0,0
9/14/06,62,55,58.5,-1.9,6,0,0,0,0
9/15/06,65,54,59.5,-0.8,5,0,0,0,0
9/16/06,68,48,58,-2.2,7,0,0,0,0
9/17/06,70,50,60,-0.2,5,0,0,0,0
9/18/06,68,51,59.5,-0.6,5,0,0,0,0
9/19/06,65,52,58.5,-1.5,6,0,0,0,0
9/20/06,69,48,58.5,-1.4,6,0,0,0,0
9/21/06,68,50,59,-0.8,6,0,0,0,0
9/22/06,71,49,60,0.2,5,0,0,0,0
9/23/06,66,51,58.5,-1.2,6,0,0,0,0
9/24/06,72,52,62,2.4,3,0,0,0,0
9/25/06,71,52,61.5,2,3,0,0,0,0
9/26/06,65,53,59,-0.4,6,0,0,0,0
9/27/06,63,56,59.5,0.2,5,0,0,0,0
9/28/06,60,55,57.5,-1.7,7,0,0,0,0
9/29/06,59,54,56.5,-2.7,8,0,0,0,0
9/30/06,62,54,58,-1.1,7,0,0,0,0
10/1/06,62,52,57,-2,8,0,T,0,0
10/2/06,66,51,58.5,-0.4,6,0,0,0,0
10/3/06,66,50,58,-0.8,7,0,0,0,0
10/4/06,65,55,60,1.3,5,0,0.04,0,0
10/5/06,65,52,58.5,-0.1,6,0,0.02,0,0
10/6/06,61,49,55,-3.5,10,0,0,0,0
10/7/06,62,53,57.5,-1,7,0,0,0,0
10/8/06,71,50,60.5,2.1,4,0,0,0,0
10/9/06,67,51,59,0.7,6,0,0,0,0
10/10/06,68,56,62,3.8,3,0,0,0,0
10/11/06,69,52,60.5,2.4,4,0,0,0,0
10/12/06,67,51,59,1,6,0,0,0,0
10/13/06,62,51,56.5,-1.5,8,0,0,0,0
10/14/06,60,56,58,0.1,7,0,0,0,0
10/15/06,58,55,56.5,-1.3,8,0,0,0,0
10/16/06,62,54,58,0.3,7,0,0.01,0,0
10/17/06,63,50,56.5,-1.1,8,0,0,0,0
10/18/06,70,47,58.5,1,6,0,0,0,0
10/19/06,74,48,61,3.6,4,0,0,0,0
10/20/06,79,52,65.5,8.2,0,1,0,0,0
10/21/06,78,53,65.5,8.3,0,1,0,0,0
10/22/06,66,48,57,-0.1,8,0,0,0,0
10/23/06,67,46,56.5,-0.5,8,0,0,0,0
10/24/06,62,50,56,-0.9,9,0,0,0,0
10/25/06,72,47,59.5,2.7,5,0,0,0,0
10/26/06,75,49,62,5.3,3,0,0,0,0
10/27/06,81,50,65.5,8.9,0,1,0,0,0
10/28/06,77,49,63,6.5,2,0,0,0,0
10/29/06,59,49,54,-2.4,11,0,0,0,0
10/30/06,59,48,53.5,-2.8,11,0,0,0,0
10/31/06,58,47,52.5,-3.6,12,0,0,0,0
11/1/06,62,46,54,-2,11,0,0,0,0
11/2/06,73,54,63.5,7.6,1,0,0.11,0,0
11/3/06,65,59,62,6.3,3,0,0.04,0,0
11/4/06,65,54,59.5,3.9,5,0,0,0,0
11/5/06,65,50,57.5,2,7,0,0,0,0
11/6/06,68,53,60.5,5.2,4,0,0,0,0
11/7/06,67,53,60,4.8,5,0,0,0,0
11/8/06,61,51,56,1,9,0,0.02,0,0
11/9/06,59,44,51.5,-3.3,13,0,0,0,0
11/10/06,61,40,50.5,-4.2,14,0,0,0,0
11/11/06,57,45,51,-3.5,14,0,0.15,0,0
11/12/06,60,43,51.5,-2.8,13,0,T,0,0
11/13/06,61,48,54.5,0.3,10,0,0.49,0,0
11/14/06,61,47,54,0,11,0,0.21,0,0
11/15/06,62,43,52.5,-1.3,12,0,0,0,0
11/16/06,64,45,54.5,0.8,10,0,0,0,0
11/17/06,62,53,57.5,4,7,0,0,0,0
11/18/06,64,50,57,3.7,8,0,0,0,0
11/19/06,63,48,55.5,2.4,9,0,0,0,0
11/20/06,67,47,57,4.1,8,0,0,0,0
11/21/06,63,50,56.5,3.7,8,0,0,0,0
11/22/06,61,48,54.5,1.9,10,0,0.07,0,0
11/23/06,58,42,50,-2.4,15,0,T,0,0
11/24/06,56,37,46.5,-5.7,18,0,0,0,0
11/25/06,57,45,51,-1.1,14,0,0,0,0
11/26/06,57,49,53,1.1,12,0,0.13,0,0
11/27/06,56,43,49.5,-2.2,15,0,0.12,0,0
11/28/06,53,39,46,-5.6,19,0,0,0,0
11/29/06,55,37,46,-5.4,19,0,0,0,0
11/30/06,58,33,45.5,-5.8,19,0,0,0,0
12/1/06,58,37,47.5,-3.6,17,0,0,0,0
12/2/06,67,42,54.5,3.5,10,0,0,0,0
12/3/06,72,42,57,6.2,8,0,0,0,0
12/4/06,67,40,53.5,2.8,11,0,0,0,0
12/5/06,64,40,52,1.5,13,0,0,0,0
12/6/06,67,43,55,4.6,10,0,0,0,0
12/7/06,67,42,54.5,4.2,10,0,0,0,0
12/8/06,71,42,56.5,6.3,8,0,0.21,0,0
12/9/06,60,51,55.5,5.4,9,0,0,0,0
12/10/06,57,46,51.5,1.5,13,0,0.75,0,0
12/11/06,60,44,52,2.1,13,0,0,0,0
12/12/06,62,50,56,6.2,9,0,0.17,0,0
12/13/06,64,54,59,9.3,6,0,0,0,0
12/14/06,58,52,55,5.4,10,0,T,0,0
12/15/06,56,47,51.5,2,13,0,0.01,0,0
