Date,TMax,TMin,TAvg,TDep,HDD,CDD,Precip,NewSnow,SnowDepth
2006-05-01,80,53,66.5,4.6,0,2,0.00,,
2006-05-02,81,51,66.0,4.0,0,1,0.00,,
2006-05-03,69,52,60.5,-1.7,4,0,0.00,,
2006-05-04,72,52,62.0,-0.4,3,0,0.00,,
2006-05-05,67,52,59.5,-3.0,5,0,0.00,,
2006-05-06,65,50,57.5,-5.2,7,0,0.00,,
2006-05-07,76,49,62.5,-0.3,2,0,0.00,,
2006-05-08,73,51,62.0,-1.0,3,0,0.00,,
2006-05-09,80,50,65.0,1.9,0,0,0.00,,
2006-05-10,85,54,69.5,6.2,0,5,0.00,,
2006-05-11,81,56,68.5,5.1,0,4,0.00,,
2006-05-12,77,54,65.5,2.0,0,1,0.00,,
2006-05-13,76,50,63.0,-0.7,2,0,0.00,,
2006-05-14,89,53,71.0,7.2,0,6,0.00,,
2006-05-15,88,61,74.5,10.6,0,10,0.00,,
2006-05-16,78,55,66.5,2.5,0,2,0.00,,
2006-05-17,73,55,64.0,-0.2,1,0,0.00,,
2006-05-18,75,54,64.5,0.2,0,0,0.00,,
2006-05-19,71,55,63.0,-1.4,2,0,0.03,,
2006-05-20,76,56,66.0,1.5,0,1,0.00,,
2006-05-21,68,54,61.0,-3.7,4,0,0.42,,
2006-05-22,70,53,61.5,-3.3,3,0,0.00,,
2006-05-23,76,58,67.0,2.1,0,2,0.00,,
2006-05-24,75,56,65.5,0.5,0,1,0.00,,
2006-05-25,70,52,61.0,-4.2,4,0,0.00,,
2006-05-26,67,53,60.0,-5.3,5,0,0.00,,
2006-05-27,66,51,58.5,-6.9,6,0,T,,
2006-05-28,72,47,59.5,-6.1,5,0,0.00,,
2006-05-29,74,48,61.0,-4.7,4,0,0.00,,
2006-05-30,74,50,62.0,-3.8,3,0,0.00,,
2006-05-31,81,54,67.5,1.5,0,3,0.00,,
2006-06-01,79,58,68.5,2.4,0,4,0.00,,
2006-06-02,81,61,71.0,4.7,0,6,0.00,,
2006-06-03,84,58,71.0,4.6,0,6,0.00,,
2006-06-04,77,59,68.0,1.4,0,3,0.00,,
2006-06-05,71,56,63.5,-3.2,1,0,0.00,,
2006-06-06,78,55,66.5,-0.4,0,2,0.00,,
2006-06-07,75,54,64.5,-2.5,0,0,0.00,,
2006-06-08,72,53,62.5,-4.7,2,0,0.00,,
2006-06-09,79,54,66.5,-0.8,0,2,0.00,,
2006-06-10,71,55,63.0,-4.5,2,0,0.00,,
2006-06-11,73,58,65.5,-2.2,0,1,0.00,,
2006-06-12,71,58,64.5,-3.3,0,0,0.00,,
2006-06-13,70,56,63.0,-5.0,2,0,0.00,,
2006-06-14,73,55,64.0,-4.2,1,0,T,,
2006-06-15,80,56,68.0,-0.3,0,3,0.00,,
2006-06-16,92,59,75.5,7.0,0,11,0.00,,
2006-06-17,86,58,72.0,3.4,0,7,0.00,,
2006-06-18,78,55,66.5,-2.3,0,2,0.00,,
2006-06-19,79,53,66.0,-3.0,0,1,0.00,,
2006-06-20,86,57,71.5,2.4,0,7,0.00,,
2006-06-21,95,61,78.0,8.7,0,13,0.00,,
2006-06-22,98,64,81.0,11.6,0,16,0.00,,
2006-06-23,88,61,74.5,4.9,0,10,0.00,,
2006-06-24,82,59,70.5,0.8,0,6,0.00,,
2006-06-25,83,60,71.5,1.7,0,7,0.00,,
2006-06-26,85,60,72.5,2.6,0,8,0.00,,
2006-06-27,79,61,70.0,-0.1,0,5,0.00,,
2006-06-28,81,61,71.0,0.8,0,6,0.00,,
2006-06-29,80,60,70.0,-0.3,0,5,0.00,,
2006-06-30,74,58,66.0,-4.4,0,1,0.00,,
2006-07-01,80,58,69.0,-1.5,0,4,0.00,,
2006-07-02,74,56,65.0,-5.6,0,0,0.00,,
2006-07-03,73,56,64.5,-6.2,0,0,0.00,,
2006-07-04,73,55,64.0,-6.7,1,0,0.00,,
2006-07-05,72,55,63.5,-7.3,1,0,0.00,,
2006-07-06,74,54,64.0,-6.9,1,0,0.00,,
2006-07-07,90,53,71.5,0.6,0,7,0.00,,
2006-07-08,93,59,76.0,5.1,0,11,0.00,,
2006-07-09,84,58,71.0,0.0,0,6,0.00,,
2006-07-10,79,57,68.0,-3.0,0,3,0.00,,
2006-07-11,72,56,64.0,-7.0,1,0,0.00,,
2006-07-12,76,55,65.5,-5.6,0,1,0.00,,
2006-07-13,90,62,76.0,4.9,0,11,0.00,,
2006-07-14,80,57,68.5,-2.6,0,4,0.00,,
2006-07-15,84,57,70.5,-0.6,0,6,0.00,,
2006-07-16,92,59,75.5,4.4,0,11,0.00,,
2006-07-17,98,62,80.0,8.9,0,15,0.00,,
2006-07-18,92,67,79.5,8.5,0,15,0.00,,
2006-07-19,89,68,78.5,7.5,0,14,0.00,,
2006-07-20,92,66,79.0,8.0,0,14,0.00,,
2006-07-21,96,68,82.0,11.0,0,17,0.00,,
2006-07-22,102,72,87.0,16.0,0,22,0.00,,
2006-07-23,104,74,89.0,18.1,0,24,0.00,,
2006-07-24,99,70,84.5,13.6,0,20,0.00,,
2006-07-25,96,67,81.5,10.6,0,17,0.00,,
