Date,TMax,TMin,TAvg,TDep,HDD,CDD,Precip,NewSnow,SnowDepth
2006-05-01,81,41,61.0,3.0,4,0,0.00,,
2006-05-02,80,43,61.5,3.3,3,0,0.00,,
2006-05-03,63,44,53.5,-4.8,11,0,0.00,,
2006-05-04,66,49,57.5,-1.0,7,0,0.00,,
2006-05-05,64,45,54.5,-4.1,10,0,0.00,,
2006-05-06,71,45,58.0,-0.8,7,0,0.00,,
2006-05-07,77,44,60.5,1.5,4,0,0.00,,
2006-05-08,80,45,62.5,3.4,2,0,0.00,,
2006-05-09,83,46,64.5,5.2,0,0,T,,
2006-05-10,88,46,67.0,7.5,0,2,0.00,,
2006-05-11,81,45,63.0,3.4,2,0,T,,
2006-05-12,81,45,63.0,3.2,2,0,0.00,,
2006-05-13,79,43,61.0,1.0,4,0,T,,
2006-05-14,94,45,69.5,9.4,0,5,T,,
2006-05-15,83,51,67.0,6.7,0,2,0.00,,
2006-05-16,80,51,65.5,5.1,0,1,0.00,,
2006-05-17,77,47,62.0,1.4,3,0,0.00,,
2006-05-18,72,48,60.0,-0.8,5,0,0.00,,
2006-05-19,58,46,52.0,-8.9,13,0,0.26,,
2006-05-20,70,48,59.0,-2.1,6,0,0.00,,
2006-05-21,70,53,61.5,0.2,3,0,0.14,,
2006-05-22,66,49,57.5,-3.9,7,0,0.01,,
2006-05-23,67,56,61.5,-0.1,3,0,0.02,,
2006-05-24,74,51,62.5,0.7,2,0,0.01,,
2006-05-25,76,46,61.0,-0.9,4,0,0.00,,
2006-05-26,71,48,59.5,-2.6,5,0,0.00,,
2006-05-27,71,43,57.0,-5.3,8,0,0.00,,
2006-05-28,74,43,58.5,-3.9,6,0,0.00,,
2006-05-29,77,40,58.5,-4.1,6,0,T,,
2006-05-30,82,44,63.0,0.2,2,0,T,,
2006-05-31,80,48,64.0,1.0,1,0,0.00,,
2006-06-01,82,52,67.0,3.8,0,2,T,,
2006-06-02,79,57,68.0,4.7,0,3,0.00,,
2006-06-03,90,53,71.5,8.0,0,7,0.00,,
2006-06-04,80,54,67.0,3.3,0,2,0.00,,
2006-06-05,80,48,64.0,0.1,1,0,T,,
2006-06-06,86,49,67.5,3.4,0,3,0.00,,
2006-06-07,89,48,68.5,4.2,0,4,0.00,,
2006-06-08,80,46,63.0,-1.4,2,0,0.00,,
